EffectsizeID,StudyID,Age,Name_year,Article_num,Sample_Num,Items_num,g,vg,Grey_Lit,Design,Students,Retention_Interval,Intentionality,Transfer_Retention,Simultaneity,ZMean_within,ZMean_between,ZMean_complex,ZMean_fam,ZMean_cur,Spaced,Regression_Analysis,Regression_Analysis_With_Outlier,Regression_Analysis_IndependentStudies,Regression_Analysis_Students,Regression_Analysis_Visual,Regression_Analysis_Artifical,Regression_Analysis_RetentionInterval,Regression_Analysis_Simultaneity,Regression_Analysis_Age,Regression_Analysis_Spacing,Regression_Analysis_TransferRetention
1,1,20.57384615,Birnbaum et al. (2013),40,1,3,0.626438469,0.020798598,0,1,1,0,0,1,0,0.890990884,0.431072596,-0.892240049,0.651271792,-0.604974006,notspaced,0,0,0,0,0,1,0,1,1,0,1
2,2,20.57384615,Birnbaum et al. (2013),40,2,3,0.020907417,0.018882362,0,1,1,0,0,1,0,0.890990884,0.431072596,-0.892240049,0.651271792,-0.604974006,spaced,1,1,1,1,1,1,0,1,1,0,1
3,3,33.58,Birnbaum (2013),39,1,0,0.269025533,0.041523767,1,1,0,0,0,1,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,0,0,0,1,0,1,0,1,0,1,1
4,4,33.58,Birnbaum (2013),39,2,0,0.717868827,0.052483223,1,1,0,0,0,1,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,0,0,0,1,0,1,0,1,0,1,1
5,5,32.4,Birnbaum (2013),39,3,0,0.558293345,0.021287855,1,1,0,0,0,1,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,0,0,0,1,0,1,0,1,0,1,1
6,6,32.4,Birnbaum (2013),39,4,0,0.352972533,0.029250561,1,1,0,0,1,1,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,1,0,1,1,1,1,0,1,1,1,1
7,7,31.14,Birnbaum (2013),39,5a,0,0.724615745,0.107801639,1,0,0,0,0,1,0,0.129978645,-0.562885927,-0.227039561,0.054892766,-1.066771479,-1,1,0,1,1,1,1,0,1,1,1,1
8,7,31.14,Birnbaum (2013),39,5b,0,-0.595925813,0.104791706,1,0,0,0,1,1,0,-0.355106123,1.166531649,-0.261201288,0.099961267,-0.990213972,-1,1,0,1,1,1,1,0,1,1,1,1
9,7,31.14,Birnbaum (2013),39,5c,0,-0.388818902,0.102882063,1,0,0,0,1,1,0,-0.039373771,-0.553403846,-0.320072067,0.133055101,-0.760756874,-1,1,0,1,1,1,1,0,1,1,1,1
10,8,35.4,Birnbaum (2013),39,6,3,0.195059149,0.025903507,1,1,0,0,0,1,0,0.890990884,0.431072596,-0.892240049,0.651271792,-0.604974006,-1,0,0,0,1,0,1,0,1,0,1,1
11,9,21,Kenney (2009),38,1,0,0.822138064,0.039616279,1,1,1,0,0,0,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,0,0,0,0,0,1,0,1,0,1,1
12,10,24,Kenney (2009),38,2a,0,0.485202145,0.041950487,1,1,1,0,0,1,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,0,0,0,0,0,1,0,1,0,1,0
13,10,24,Kenney (2009),38,2b,0,0.859500942,0.051887477,1,1,1,0,0,0,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,0,0,1,0,0,1,0,1,0,1,0
14,11,26,Kenney (2009),38,3,1,1.133103902,0.053446585,1,1,1,0,0,1,0,0.858993353,0.740982162,0.03436998,-1.253917829,0.831913407,-1,1,0,1,1,1,1,0,1,1,1,1
15,12,20.7,Archambault (2014),10,1,3,0.967139237,0.079306657,1,0,1,0,0,1,0,-0.470231431,0.443037352,-0.148496381,0.370041571,-0.94099991,-1,0,0,0,0,0,1,0,1,0,1,1
16,13,19.7,Archambault (2014),10,2,1,0.067305096,0.017435063,1,1,1,0,0,1,0,1.85023064,1.48497977,-0.676909178,-1.366684106,0.915873386,-1,0,0,0,0,0,0,0,1,0,1,1
17,14,22.4,Archambault (2014),10,3,5,-0.197208036,0.049748747,1,1,1,0,0,1,0,-0.071322744,-0.500236813,0.786744504,1.19273676,0.501973424,-1,0,0,0,0,1,1,1,1,0,1,1
18,15,22.4,Archambault (2014),10,4,5,-0.101407776,0.045058743,1,1,1,1,0,1,0,-0.071322744,-0.500236813,0.786744504,1.19273676,0.501973424,-1,0,0,0,0,1,1,1,1,0,1,1
19,16,20.57384615,Carpenter & Mueller (2013),31,1a,4,-0.851330203,0.074462735,0,1,1,0,0,0,0,0.072831125,-1.273093969,-0.770090335,-0.282749834,-0.416787337,-1,0,0,1,0,1,1,1,1,1,1,0
20,16,20.57384615,Carpenter & Mueller (2013),31,1b,4,-0.23943662,0.055043941,0,1,1,0,0,1,0,0.072831125,-1.273093969,-0.770090335,-0.282749834,-0.416787337,-1,0,0,0,0,1,1,1,1,1,1,0
21,17,20.57384615,Carpenter & Mueller (2013),31,2a,4,-0.624787776,0.050106642,0,1,1,0,0,0,0,0.072831125,-1.273093969,-0.770090335,-0.282749834,-0.416787337,-1,0,0,1,0,1,1,1,1,1,1,0
22,17,20.57384615,Carpenter & Mueller (2013),31,2b,4,-0.322807018,0.043779174,0,1,1,0,0,1,0,0.072831125,-1.273093969,-0.770090335,-0.282749834,-0.416787337,-1,0,0,0,0,1,1,1,1,1,1,0
23,18,20.57384615,Carpenter & Mueller (2013),31,3a,4,-0.31372549,0.042077607,0,1,1,0,0,1,0,0.072831125,-1.273093969,-0.770090335,-0.282749834,-0.416787337,-1,0,0,0,0,1,1,1,1,1,1,0
24,18,20.57384615,Carpenter & Mueller (2013),31,3b,4,-0.770053476,0.052592686,0,1,1,0,0,0,0,0.072831125,-1.273093969,-0.770090335,-0.282749834,-0.416787337,-1,0,0,1,0,1,1,1,1,1,1,0
25,19,20.57384615,Carpenter & Mueller (2013),31,4a,4,-0.756803465,0.108429054,0,0,1,0,0,0,0,-0.385713235,-1.362269001,-0.817087586,-0.2120337,-1.190967376,-1,0,0,1,0,1,1,0,1,1,1,0
26,19,20.57384615,Carpenter & Mueller (2013),31,4b,4,-0.097902098,0.101018966,0,0,1,0,0,1,0,-0.385713235,-1.362269001,-0.817087586,-0.2120337,-1.190967376,-1,0,0,0,0,1,1,0,1,1,1,0
27,20,22,Carvalho & Albuquerque (2012),17,1,1,0.486320604,0.073061674,0,1,1,0,0,1,0,2.012331678,2.198558305,1.943779756,-1.623217147,1.347991723,-1,0,0,0,0,0,0,0,1,0,1,1
28,21,21,Carvalho & Albuquerque (2012),17,2,1,0.060790076,0.047355979,0,1,1,0,0,1,0,1.326081679,1.414566758,1.400667677,-1.617375136,0.834572801,-1,0,0,0,0,0,0,0,1,0,1,1
29,22,20.57384615,Carvalho & Goldstone (2012),22,1a,1,0.486720489,0.040606966,0,1,1,0,0,0,0,1.816017559,2.234545588,-0.415412329,-1.28537028,1.143777666,-1,0,0,1,0,0,0,0,0,1,1,0
30,22,20.57384615,Carvalho & Goldstone (2012),22,1b,1,0.522671434,0.041298701,0,1,1,0,0,1,0,1.816017559,2.234545588,-0.415412329,-1.28537028,1.143777666,-1,0,0,0,0,0,0,0,0,1,1,0
31,23,20.57384615,Carvalho & Goldstone (2012),22,2a,1,0.208682733,0.020388416,0,1,1,0,0,0,0,-1.00690083,-0.650629797,-0.699581923,-1.334231176,1.190422719,-1,0,0,1,0,0,0,0,0,1,1,0
32,23,20.57384615,Carvalho & Goldstone (2012),22,2b,1,-0.425988719,0.032187173,0,1,1,0,0,1,0,-1.00690083,-0.650629797,-0.699581923,-1.334231176,1.190422719,-1,0,0,0,0,0,0,0,0,1,1,0
33,24,20.57384615,Carvalho & Goldstone (2014a),22,1a,1,0.711647648,0.02995511,0,1,1,0,0,0,1,1.816017559,2.234545588,-0.415412329,-1.28537028,1.143777666,-1,0,0,1,0,0,0,0,0,1,1,0
34,24,20.57384615,Carvalho & Goldstone (2014a),22,1b,1,0.721782568,0.030133575,0,1,1,0,0,1,1,1.816017559,2.234545588,-0.415412329,-1.28537028,1.143777666,-1,0,0,0,0,0,0,0,0,1,1,0
35,25,20.57384615,Carvalho & Goldstone (2014a),22,2a,1,0.03664359,0.02145171,0,1,1,0,0,0,1,-1.00690083,-0.650629797,-0.699581923,-1.334231176,1.190422719,-1,0,0,1,0,0,0,0,0,1,1,0
36,25,20.57384615,Carvalho & Goldstone (2014a),22,2b,1,-0.073885443,0.02149722,0,1,1,0,0,1,1,-1.00690083,-0.650629797,-0.699581923,-1.334231176,1.190422719,-1,0,0,0,0,0,0,0,0,1,1,0
37,26,20.57384615,Carvalho & Goldstone (2014b),8,1a,1,0.564398937,0.024482528,0,1,1,0,0,0,0,1.816017559,2.234545588,-0.415412329,-1.28537028,1.143777666,-1,0,0,1,0,0,0,0,1,1,1,0
38,26,20.57384615,Carvalho & Goldstone (2014b),8,1b,1,0.485993356,0.023589847,0,1,1,0,0,1,0,1.816017559,2.234545588,-0.415412329,-1.28537028,1.143777666,-1,0,0,0,0,0,0,0,1,1,1,0
39,27,20.57384615,Carvalho & Goldstone (2014b),8,2a,1,0.359080485,0.018544308,0,1,1,0,0,0,0,-1.00690083,-0.650629797,-0.699581923,-1.334231176,1.190422719,-1,0,0,1,0,0,0,0,1,1,1,0
40,27,20.57384615,Carvalho & Goldstone (2014b),8,2b,1,0.100345779,0.017484452,0,1,1,0,0,1,0,-1.00690083,-0.650629797,-0.699581923,-1.334231176,1.190422719,-1,0,0,0,0,0,0,0,1,1,1,0
41,26,20.57384615,Carvalho & Goldstone (2014b),8,1c,1,0.646627403,0.025561906,0,1,1,0,0,0,0,1.816017559,2.234545588,-0.415412329,-1.28537028,1.143777666,-1,0,0,1,0,0,0,0,1,1,1,0
42,26,20.57384615,Carvalho & Goldstone (2014b),8,1d,1,0.582316363,0.024705232,0,1,1,0,0,1,0,1.816017559,2.234545588,-0.415412329,-1.28537028,1.143777666,-1,0,0,1,0,0,0,0,1,1,1,0
43,27,20.57384615,Carvalho & Goldstone (2014b),8,2c,1,0.148817893,0.017592137,0,1,1,0,0,0,0,-1.00690083,-0.650629797,-0.699581923,-1.334231176,1.190422719,-1,0,0,1,0,0,0,0,1,1,1,0
44,27,20.57384615,Carvalho & Goldstone (2014b),8,2d,1,0.096486326,0.017477679,0,1,1,0,0,1,0,-1.00690083,-0.650629797,-0.699581923,-1.334231176,1.190422719,-1,0,0,1,0,0,0,0,1,1,1,0
45,28,20.57384615,Carvalho & Goldstone (2014b),8,3a,1,-0.209934858,0.02929895,0,1,1,0,0,0,0,1.816017559,2.234545588,-0.415412329,-1.28537028,1.143777666,-1,0,0,1,0,0,0,0,1,1,1,0
46,28,20.57384615,Carvalho & Goldstone (2014b),8,3b,1,-0.116431956,0.028843021,0,1,1,0,0,1,0,1.816017559,2.234545588,-0.415412329,-1.28537028,1.143777666,-1,0,0,0,0,0,0,0,1,1,1,0
47,29,20.57384615,Carvalho & Goldstone (2014b),8,4a,1,-0.096505814,0.040182985,0,1,1,0,0,0,0,-1.00690083,-0.650629797,-0.699581923,-1.334231176,1.190422719,-1,0,0,1,0,0,0,0,1,1,1,0
48,29,20.57384615,Carvalho & Goldstone (2014b),8,4b,1,-0.032827832,0.041498836,0,1,1,0,0,1,0,-1.00690083,-0.650629797,-0.699581923,-1.334231176,1.190422719,-1,0,0,0,0,0,0,0,1,1,1,0
49,30,20.57384615,Carvalho & Goldstone (2015a),28,1a,1,-0.423360423,0.031318334,0,1,1,0,0,0,0,1.316518841,1.550122887,-0.129087795,-1.556647777,1.510797817,-1,0,0,1,0,0,0,0,1,1,1,0
50,31,20.57384615,Carvalho & Goldstone (2015a),28,2a,1,0.315997367,0.029371932,0,1,1,0,0,0,0,1.316518841,1.550122887,-0.129087795,-1.556647777,1.510797817,-1,0,0,1,0,0,0,0,1,1,1,0
51,30,20.57384615,Carvalho & Goldstone (2015a),28,1b,1,-0.296673024,0.029955471,0,1,1,0,0,1,0,1.316518841,1.550122887,-0.129087795,-1.556647777,1.510797817,-1,0,0,0,0,0,0,0,1,1,1,0
52,31,20.57384615,Carvalho & Goldstone (2015a),28,2b,1,0.345738295,0.029658234,0,1,1,0,0,1,0,1.316518841,1.550122887,-0.129087795,-1.556647777,1.510797817,-1,0,0,0,0,0,0,0,1,1,1,0
53,32,20.57384615,Carvalho & Goldstone (2015a),28,3,1,-0.300128231,0.017915888,0,1,1,0,0,1,0,1.036954038,1.388113997,0.121612478,-1.832106377,1.49057653,-1,0,0,0,0,0,0,0,1,1,1,1
54,33,20.57384615,Carvalho & Goldstone (2015a),28,4,1,0.316362225,0.019848772,0,1,1,0,0,1,0,1.036954038,1.388113997,0.121612478,-1.832106377,1.49057653,-1,0,0,0,0,0,0,0,1,1,1,1
55,34,20.57384615,Dobson (2011),7,1a,5,0.166471359,0.044189855,0,0,1,1,0,0,0,-0.163751673,-1.145281274,1.493778574,0.745881141,0.010503977,-1,0,0,0,0,1,1,1,1,1,1,1
56,34,20.57384615,Dobson (2011),7,1b,5,0.08944962,0.044080346,0,0,1,1,0,0,0,-0.163751673,-1.145281274,1.493778574,0.745881141,0.010503977,-1,0,0,1,0,1,1,0,1,1,1,1
57,34,20.57384615,Dobson (2011),7,1c,5,0.012522244,0.044036766,0,0,1,1,0,0,0,-0.163751673,-1.145281274,1.493778574,0.745881141,0.010503977,-1,0,0,1,0,1,1,0,1,1,1,1
58,34,20.57384615,Dobson (2011),7,1d,5,0.078144702,0.044069821,0,0,1,1,0,0,0,-0.163751673,-1.145281274,1.493778574,0.745881141,0.010503977,-1,0,0,1,0,1,1,1,1,1,1,1
59,35,20.57384615,Dobson (2011),7,2a,5,0.007419672,0.039882056,0,0,1,1,0,0,0,-0.163751673,-1.145281274,1.493778574,0.745881141,0.010503977,-1,0,0,0,0,1,1,1,1,1,1,1
60,35,20.57384615,Dobson (2011),7,2b,5,-0.199997973,0.040083794,0,0,1,1,0,0,0,-0.163751673,-1.145281274,1.493778574,0.745881141,0.010503977,-1,0,0,1,0,1,1,0,1,1,1,1
61,35,20.57384615,Dobson (2011),7,2c,5,-0.149950076,0.039995339,0,0,1,1,0,0,0,-0.163751673,-1.145281274,1.493778574,0.745881141,0.010503977,-1,0,0,1,0,1,1,0,1,1,1,1
62,35,20.57384615,Dobson (2011),7,2d,5,-0.042365588,0.039890843,0,0,1,1,0,0,0,-0.163751673,-1.145281274,1.493778574,0.745881141,0.010503977,-1,0,0,1,0,1,1,1,1,1,1,1
63,36,32.50666667,Dwyer et al. (2004),21,1,6,0.827758603,0.169645264,0,0,0,0,0,0,0,2.251903745,0.083539652,-2.79096884,-0.187992224,2.353982886,-1,1,1,1,1,1,1,0,1,1,1,1
64,37,32.50666667,Dwyer et al. (2004),21,2,6,1.020902277,0.177083954,0,0,0,0,0,0,0,2.251903745,0.083539652,-2.79096884,-0.187992224,2.353982886,-1,1,1,1,1,1,1,0,1,1,1,1
65,38,32.50666667,Dwyer et al. (2004),21,3,6,-0.090659276,0.155541822,0,0,0,0,0,0,0,2.251903745,0.083539652,-2.79096884,-0.187992224,2.353982886,-1,1,1,1,1,1,1,0,1,1,1,1
66,39,20.57384615,Dwyer et al. (2011),36,1a,3,0.345299836,0.04582568,0,1,1,0,1,0,0,-0.031369497,0.366034171,-0.60390508,0.885394412,0.693085793,distract,0,0,1,0,0,1,0,1,1,0,1
67,39,20.57384615,Dwyer et al. (2011),36,1b,3,0.695939078,0.054235132,0,1,1,0,1,0,0,-0.031369497,0.366034171,-0.60390508,0.885394412,0.693085793,distract,0,0,1,0,0,1,0,1,1,0,1
68,39,20.57384615,Dwyer et al. (2011),36,1c,3,0.858383623,0.060050847,0,1,1,0,1,0,0,-0.031369497,0.366034171,-0.60390508,0.885394412,0.693085793,notspaced,0,0,1,0,0,1,0,1,1,0,1
69,40,20.4,Friedman (2013),33,1,0,1.851059693,0.08201437,1,1,1,0,0,1,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,0,0,0,0,0,1,1,1,0,1,1
70,41,20.4,Friedman (2013),33,2,0,1.820311193,0.080280895,1,1,1,0,0,0,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,0,0,0,0,0,1,1,1,0,1,1
71,42,20.8,Friedman (2013),33,3a,0,1.033503681,0.026918257,1,1,1,0,0,1,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,0,0,0,0,0,1,1,1,0,1,0
72,42,20.8,Friedman (2013),33,3b,0,1.102497847,0.028232242,1,1,1,0,0,0,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,0,0,1,0,0,1,1,1,0,1,0
73,43,32.6,Friedman (2013),33,4,0,0.275680256,0.017792365,1,1,0,0,0,1,0,-0.610527743,0.877911276,-0.070593164,-0.022322219,-0.409563684,-1,0,0,0,1,0,1,1,1,0,1,1
74,44,26,Hausman & Kornell (2014),18,1,4,0.484608235,0.079855099,0,0,0,1,0,0,0,-1.423294023,-2.442096917,-1.044726584,-0.897133414,0.764286478,-1,0,0,0,1,1,1,1,1,0,1,1
75,45,32.50666667,Hausman & Kornell (2014),18,2,4,-0.258651031,0.050724439,0,0,0,1,0,0,0,-1.423294023,-2.442096917,-1.044726584,-0.897133414,0.764286478,-1,0,0,0,1,1,1,1,1,1,1,1
76,45,32.50666667,Hausman & Kornell (2014),18,3,4,0,0.042754641,0,0,0,1,0,0,0,-1.423294023,-2.442096917,-1.044726584,-0.897133414,0.764286478,-1,0,0,0,1,1,1,1,1,1,1,1
